==============================================================================================
There are 173 records found

Search criteria:
  Start: 2020-01-01		End: 2022-01-05
  0 <= ML <= 10 		0 <= Depth <= 999 		0 <= Plunge <= 90
  Realtime Solutions

File Header:
Date, Time, Latitude, Longitude, CWB Depth, ML, strike1, dip1, slip1, strike2, dip2, slip2, m11, m22, m33, m12, m13, m23, Mrr, Mtt, Mff, Mrt, Mrf, Mtf, exponentexponent, M0, Mw, Centroid_depth, CLVD, ISO, misfit, gap, nsta, Paz, Ppl, Baz, Bpl, Taz, Tpl, QC
2020-07-04,23:28:15.5,24.2400,121.6500,16.30,4.00,206.76,34.55,71.85,48.46,57.39,102.10,-1.062114,-1.710483,2.772598,1.060350,1.191888,-0.477148,2.772598,-1.062114,-1.710483,1.191888,0.477148,-1.060350,21,2.93993e+21,3.58,26,25.6,0.0,0.266,231.100,7,129.755,11.615,-138.130,10.175,-7.919,74.464,A3
2020-07-08,16:54:33.5,23.2400,121.3000,20.80,4.60,292.53,44.81,52.17,160.11,56.18,121.35,-0.868758,-0.896983,1.765741,-1.061882,-0.495218,0.984977,1.765741,-0.868758,-0.896983,-0.495218,-0.984977,1.061880,22,2.1637e+22,4.16,27,28.1,0.0,0.200,214.800,7,-131.606,6.203,-38.620,25.610,125.779,63.542,A3
2020-07-09,03:24:23.5,24.1500,121.6800,27.50,4.80,316.60,14.21,-147.44,194.84,82.41,-77.95,-0.150186,1.071445,-0.921259,0.437607,0.940133,-3.003178,-0.921259,-0.150186,1.071445,0.940133,3.003180,-0.437607,22,3.33228e+22,4.29,37,9.2,0.0,0.204,232.100,7,118.453,51.159,13.227,11.940,-85.710,36.303,A1
2020-07-09,04:12:03.5,24.1500,121.6700,27.10,4.60,225.05,24.84,114.07,18.84,67.44,79.31,-0.329916,-0.689585,1.137315,0.440684,0.198315,-1.021158,1.137315,-0.329916,-0.689585,0.198315,1.021160,-0.440684,22,1.48836e+22,4.05,31,18.6,2.5,0.245,223.300,7,116.961,21.745,22.984,9.865,-89.905,65.910,A3
2020-07-25,21:33:59.5,24.0200,120.7500,25.60,4.10,160.04,32.92,61.53,12.91,61.46,107.16,-0.077714,-1.634411,1.269350,-0.108714,0.463262,-0.821674,1.269350,-0.077714,-1.634411,0.463262,0.821674,0.108714,21,1.74524e+21,3.43,26,7.2,-8.0,0.402,108.600,7,90.446,14.818,-175.485,15.015,-42.151,68.651,B2
2020-07-26,12:52:29.5,24.2600,122.4400,53.20,6.10,155.84,46.49,30.77,43.54,68.22,132.14,3.748009,-9.126639,5.378630,1.941886,6.776198,-1.938520,5.378630,3.748009,-9.126639,6.776198,1.938520,-1.941890,23,1.07973e+24,5.29,55,22.9,0.0,0.270,289.200,7,104.410,12.972,-155.014,38.547,-0.692,48.520,A3
2020-08-11,01:01:06.5,24.7100,121.9400,73.50,4.70,47.20,28.00,151.56,162.76,77.08,64.94,0.584405,-1.249744,0.665339,0.355691,0.454214,1.439467,0.665339,0.584405,-1.249744,0.454214,-1.439470,-0.355691,22,1.89154e+22,4.12,86,30.0,0.0,0.238,305.000,7,-87.455,27.791,168.725,24.382,44.012,51.484,A3
2020-08-19,03:13:31.5,23.2300,120.3900,10.40,4.70,18.03,39.52,95.59,190.80,50.71,85.41,0.029556,-1.829368,3.133095,0.517802,0.059788,0.535834,3.133095,0.029556,-1.829368,0.059788,-0.535834,-0.517802,22,2.67221e+22,4.22,10,21.3,13.9,0.419,130.800,7,-75.939,5.603,-166.288,3.554,71.477,83.359,B4
2020-08-28,13:03:32.5,22.4400,120.9700,18.70,4.10,27.72,44.56,101.89,191.27,46.64,78.54,-1.028874,-7.153423,5.951937,2.474036,0.775295,0.544553,5.951937,-1.028874,-7.153423,0.775295,-0.544553,-2.474040,21,7.13066e+21,3.84,27,12.5,-9.3,0.452,178.800,7,-70.659,1.050,-160.812,8.312,26.489,81.621,B3
2020-09-02,08:44:39.5,22.7600,121.2000,34.50,4.60,304.41,31.03,94.55,119.11,59.08,87.27,-1.124666,-0.356633,1.481299,-0.762750,0.735673,0.368417,1.481299,-1.124666,-0.356633,0.735673,-0.368417,0.762750,22,1.74697e+22,4.10,29,12.3,0.0,0.284,189.500,7,-148.905,14.038,120.509,2.344,21.228,75.760,A2
